,filename,measurement,distance,mean_intensity_corr,median_intensity_corr,leaf_kind,mes1,mes2,mes3,wc,basename,abs_refl,rtc/abs_mean,abs/rtc_mean,rtc/abs_median,abs/rtc_median
5,measurements/250522/leaves/ahorn_gross/1Mes_10m_leaf_frontCorr_int_ahorn_gross.las,1,10m,36.578865580362816,36.120391845703125,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,0.0072119341563786,M1_ABS_10m_Ahorn_gross_IR.las,64.47006397537812,0.5673775288067453,1.762494898419938,0.560266108305677,1.7848661291045067
10,measurements/250522/leaves/ahorn_klein/1Meas_10m_leaf_frontCorr_int_ahorn_klein.las,1,10m,38.64742022210901,37.97088623046875,ahorn-klein,0.0055161082096121,0.0001525732057977,2.3472800891966456e-05,0.0055161082096121,M1_ABS_10m_Ahorn_klein_IR.las,62.63353047648031,0.617040424323863,1.620639362641069,0.6062389576574692,1.6495145806268188
17,measurements/250522/leaves/linde1/1Mes_10m_leaf_frontCorr_int_linde1.las,1,10m,38.88995571264485,38.58771896362305,linde1,0.0097821884263436,0.0012372728444387,0.0001804356231473,0.0097821884263436,M1_ABS_10m_Linde1_IR.las,74.31157387024415,0.5233364560485668,1.9108166236888298,0.5192693002438796,1.9257830176564275
23,measurements/250522/leaves/linde2/1Mes_10m_leaf_frontCorr_int_linde2.las,1,10m,37.16374951821786,37.35405731201172,linde2,0.0093504374907311,0.001660981758861,0.0002521133026842,0.0093504374907311,M1_ABS_10m_Linde2_IR.las,67.71514057396409,0.5488248152955473,1.8220750449512577,0.5516352324663717,1.8127921154147113
